Código,Departamento,Poblacion_4_mas,Ninguno,Preprimaria,Primaria_1_3,Primaria_4_5,Primaria_6,Media_Basico,Media_Diversificado,Superior_Licenciatura,Superior_Maestria_Doc
1,Guatemala,2806497,270955,122936,365946,184828,384037,514259,620707,301578,41251
2,El Progreso,162594,25105,8495,30316,13742,27073,24065,27620,5736,442
3,Sacatepéquez,306541,37690,13966,53927,24927,50870,50373,52816,19815,2157
4,Chimaltenango,560280,100277,22415,122925,59822,91652,76392,68995,16601,1201
5,Escuintla,671337,107234,31607,124281,58158,107891,113920,105566,20738,1942
6,Santa Rosa,363438,62906,17133,74583,33634,60244,52046,50554,11513,825
7,Sololá,386477,97212,26593,68302,34778,58520,46046,44776,9609,641
8,Totonicapán,380433,99190,16345,81989,40414,62573,39885,31371,8230,436
9,Quetzaltenango,732644,130546,30759,141295,64552,105387,106192,100466,49712,37335
10,Suchitepéquez,503605,104761,25015,106052,45707,71782,68369,66091,14863,965
11,Retalhuleu,297336,53759,14874,61622,26194,41639,42985,46127,9503,633
12,San Marcos,927949,205806,41117,223561,91391,135266,110682,92901,25788,1437
13,Huehuetenango,1042956,300863,43124,244335,115979,170304,75486,68184,23038,1643
14,Quiché,850655,279280,37708,184056,88827,120596,70886,55857,12584,861
15,Baja Verapaz,270113,69541,12535,53583,25514,40975,30626,29418,7472,449
16,Alta Verapaz,1082785,336970,52527,215937,112580,146745,119230,76373,20915,1508
17,Petén,492043,113880,25465,108333,49978,62204,63930,55306,11965,982
18,Izabal,371688,75313,17701,76159,35564,55769,52667,48652,8916,947
19,Zacapa,225364,45236,10249,46916,20790,33932,28499,30981,8024,737
20,Chiquimula,374636,103283,17493,75089,35036,58904,36943,36590,10336,962
21,Jalapa,309460,71487,14983,72367,30279,45247,35488,30374,8572,663
22,Jutiapa,448066,86445,22789,90847,40889,75883,57834,58933,13372,1074
