departamento,anio,poblacion_total,vif_fisica_consolidada,vif_psicologica_consolidada,vif_patrimonial_consolidada,tasa_fisica,tasa_psicologica,tasa_patrimonial,tasa_divorcios_10k,pct_educacion_superior,pct_uniones_hecho,pct_casados,pct_decision_mujer,pct_decision_hombre,tasa_desempleo,tasa_quehaceres_hogar,vif_predominante
Alta Verapaz,2013,1215038,1947,2805,371,16.024190189936448,23.085697731264375,3.053402445026411,0.979393237083943,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Psicologica
Baja Verapaz,2013,299476,680,1041,166,22.706327051249517,34.760715382868746,5.543015133099146,3.2723824279741947,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Psicologica
Chimaltenango,2013,615776,961,1616,343,15.606324377695787,26.24330925531362,5.5702073481265915,1.0393389804084603,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Psicologica
Chiquimula,2013,415063,304,382,44,7.324189339931529,9.20342213109817,1.0600800360427212,2.0960673439935626,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Psicologica
El Progreso,2013,176632,597,1026,178,33.799085103492004,58.0868698763531,10.077449159835137,4.076271570270393,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Psicologica
Escuintla,2013,733181,552,650,45,7.528836671981407,8.865477965195497,0.6137638591289191,2.0867971210383245,3.3783330875551325,23.93258951819256,27.491172313329677,19.911110628737642,22.055200408087956,5.183616048920911,30.007759429890275,Psicologica
Guatemala,2013,3015081,3371,5848,1064,11.180462481770803,19.395830493442798,3.5289267518849408,5.979938847414049,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Psicologica
Huehuetenango,2013,1170669,1414,1505,386,12.078563624730817,12.855896927312502,3.2972599428190206,1.0677655255242942,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Psicologica
Izabal,2013,408688,596,811,204,14.58325177152253,19.8439885682966,4.991582821125162,3.0096308186195824,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Psicologica
Jalapa,2013,342923,416,713,42,12.1310031698078,20.791839567483077,1.2247647431055952,2.857784400579722,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Psicologica
